cost_fn,max depth,min_leaf_instances,validation accuracy %,isBest
misclassification,1,1,57.971014492753625,0.0
misclassification,1,2,57.971014492753625,0.0
misclassification,1,5,57.971014492753625,0.0
misclassification,1,10,57.971014492753625,0.0
misclassification,2,1,61.15942028985507,0.0
misclassification,2,2,61.15942028985507,0.0
misclassification,2,5,61.15942028985507,0.0
misclassification,2,10,61.15942028985507,0.0
misclassification,5,1,59.85507246376812,0.0
misclassification,5,2,59.85507246376812,0.0
misclassification,5,5,59.71014492753623,0.0
misclassification,5,10,59.71014492753623,0.0
misclassification,10,1,65.3623188405797,0.0
misclassification,10,2,65.3623188405797,0.0
misclassification,10,5,64.78260869565217,0.0
misclassification,10,10,65.50724637681158,62.47288503253796
misclassification,50,1,61.739130434782616,0.0
misclassification,50,2,61.739130434782616,0.0
misclassification,50,5,61.8840579710145,0.0
misclassification,50,10,62.89855072463769,0.0
entropy,1,1,57.391304347826086,0.0
entropy,1,2,57.391304347826086,0.0
entropy,1,5,57.391304347826086,0.0
entropy,1,10,57.391304347826086,0.0
entropy,2,1,63.47826086956522,0.0
entropy,2,2,63.47826086956522,0.0
entropy,2,5,63.47826086956522,0.0
entropy,2,10,63.47826086956522,0.0
entropy,5,1,64.78260869565219,0.0
entropy,5,2,64.78260869565219,0.0
entropy,5,5,64.92753623188406,0.0
entropy,5,10,64.20289855072464,0.0
entropy,10,1,62.46376811594203,0.0
entropy,10,2,62.46376811594203,0.0
entropy,10,5,62.75362318840579,0.0
entropy,10,10,62.028985507246375,0.0
entropy,50,1,61.01449275362319,0.0
entropy,50,2,60.724637681159415,0.0
entropy,50,5,60.86956521739131,0.0
entropy,50,10,59.71014492753623,0.0
gini,1,1,57.10144927536232,0.0
gini,1,2,57.10144927536232,0.0
gini,1,5,57.10144927536232,0.0
gini,1,10,57.10144927536232,0.0
gini,2,1,65.07246376811594,0.0
gini,2,2,65.07246376811594,0.0
gini,2,5,65.07246376811594,0.0
gini,2,10,65.07246376811594,0.0
gini,5,1,63.188405797101446,0.0
gini,5,2,63.04347826086956,0.0
gini,5,5,63.04347826086956,0.0
gini,5,10,62.17391304347826,0.0
gini,10,1,62.46376811594203,0.0
gini,10,2,62.17391304347827,0.0
gini,10,5,61.739130434782616,0.0
gini,10,10,63.04347826086957,0.0
gini,50,1,61.7391304347826,0.0
gini,50,2,61.30434782608696,0.0
gini,50,5,61.01449275362319,0.0
gini,50,10,62.028985507246375,0.0
