cost_fn,max depth,min_leaf_instances,validation accuracy %,isBest
misclassification,1,1,83.9080459770115,65.21739130434783
misclassification,1,2,83.9080459770115,0.0
misclassification,1,5,83.9080459770115,0.0
misclassification,1,10,83.9080459770115,0.0
misclassification,2,1,81.60919540229885,0.0
misclassification,2,2,81.60919540229885,0.0
misclassification,2,5,81.60919540229885,0.0
misclassification,2,10,81.60919540229885,0.0
misclassification,5,1,77.01149425287356,0.0
misclassification,5,2,77.01149425287356,0.0
misclassification,5,5,78.16091954022988,0.0
misclassification,5,10,79.3103448275862,0.0
misclassification,10,1,73.5632183908046,0.0
misclassification,10,2,73.5632183908046,0.0
misclassification,10,5,77.01149425287356,0.0
misclassification,10,10,78.16091954022988,0.0
misclassification,50,1,73.5632183908046,0.0
misclassification,50,2,73.5632183908046,0.0
misclassification,50,5,77.01149425287356,0.0
misclassification,50,10,78.16091954022988,0.0
entropy,1,1,83.9080459770115,0.0
entropy,1,2,83.9080459770115,0.0
entropy,1,5,83.9080459770115,0.0
entropy,1,10,83.9080459770115,0.0
entropy,2,1,83.9080459770115,0.0
entropy,2,2,83.9080459770115,0.0
entropy,2,5,83.9080459770115,0.0
entropy,2,10,83.9080459770115,0.0
entropy,5,1,77.01149425287356,0.0
entropy,5,2,77.01149425287356,0.0
entropy,5,5,77.01149425287356,0.0
entropy,5,10,80.45977011494253,0.0
entropy,10,1,77.01149425287356,0.0
entropy,10,2,77.01149425287356,0.0
entropy,10,5,77.01149425287356,0.0
entropy,10,10,80.45977011494253,0.0
entropy,50,1,77.01149425287356,0.0
entropy,50,2,77.01149425287356,0.0
entropy,50,5,77.01149425287356,0.0
entropy,50,10,80.45977011494253,0.0
gini,1,1,83.9080459770115,0.0
gini,1,2,83.9080459770115,0.0
gini,1,5,83.9080459770115,0.0
gini,1,10,83.9080459770115,0.0
gini,2,1,81.60919540229885,0.0
gini,2,2,81.60919540229885,0.0
gini,2,5,81.60919540229885,0.0
gini,2,10,81.60919540229885,0.0
gini,5,1,74.71264367816092,0.0
gini,5,2,74.71264367816092,0.0
gini,5,5,71.26436781609195,0.0
gini,5,10,77.01149425287356,0.0
gini,10,1,74.71264367816092,0.0
gini,10,2,74.71264367816092,0.0
gini,10,5,71.26436781609195,0.0
gini,10,10,77.01149425287356,0.0
gini,50,1,74.71264367816092,0.0
gini,50,2,74.71264367816092,0.0
gini,50,5,71.26436781609195,0.0
gini,50,10,77.01149425287356,0.0
