K,distance_fn,validation accuracy %,isBest
1,euclidean,62.31884057971015,0.0
1,manhatten,62.46376811594203,0.0
2,euclidean,61.7391304347826,0.0
2,manhatten,60.0,0.0
3,euclidean,63.333333333333336,0.0
3,manhatten,62.608695652173914,0.0
4,euclidean,62.75362318840579,0.0
4,manhatten,61.88405797101449,0.0
5,euclidean,63.333333333333336,0.0
5,manhatten,63.04347826086956,0.0
6,euclidean,63.478260869565226,0.0
6,manhatten,63.04347826086956,0.0
7,euclidean,65.21739130434783,0.0
7,manhatten,64.20289855072464,0.0
8,euclidean,63.47826086956521,0.0
8,manhatten,65.79710144927537,0.0
9,euclidean,65.3623188405797,0.0
9,manhatten,66.37681159420289,62.90672451193059
10,euclidean,63.6231884057971,0.0
10,manhatten,65.65217391304348,0.0
11,euclidean,65.07246376811594,0.0
11,manhatten,65.07246376811594,0.0
12,euclidean,63.913043478260875,0.0
12,manhatten,65.50724637681161,0.0
13,euclidean,65.50724637681161,0.0
13,manhatten,66.37681159420289,0.0
14,euclidean,64.92753623188406,0.0
14,manhatten,64.78260869565217,0.0
15,euclidean,64.20289855072464,0.0
15,manhatten,66.23188405797102,0.0
16,euclidean,64.34782608695652,0.0
16,manhatten,64.92753623188406,0.0
17,euclidean,63.76811594202898,0.0
17,manhatten,63.76811594202898,0.0
18,euclidean,63.76811594202898,0.0
18,manhatten,65.07246376811594,0.0
19,euclidean,63.333333333333336,0.0
19,manhatten,65.50724637681158,0.0
