K,distance_fn,validation accuracy %,isBest
1,euclidean,83.9080459770115,0.0
1,manhatten,83.9080459770115,0.0
2,euclidean,81.60919540229885,0.0
2,manhatten,82.75862068965517,0.0
3,euclidean,85.0574712643678,0.0
3,manhatten,85.0574712643678,0.0
4,euclidean,82.75862068965517,0.0
4,manhatten,82.75862068965517,0.0
5,euclidean,86.20689655172413,0.0
5,manhatten,86.20689655172413,0.0
6,euclidean,85.0574712643678,0.0
6,manhatten,85.0574712643678,0.0
7,euclidean,86.20689655172413,0.0
7,manhatten,86.20689655172413,0.0
8,euclidean,86.20689655172413,0.0
8,manhatten,86.20689655172413,0.0
9,euclidean,86.20689655172413,0.0
9,manhatten,86.20689655172413,0.0
10,euclidean,86.20689655172413,0.0
10,manhatten,86.20689655172413,0.0
11,euclidean,86.20689655172413,0.0
11,manhatten,86.20689655172413,0.0
12,euclidean,86.20689655172413,0.0
12,manhatten,86.20689655172413,0.0
13,euclidean,86.20689655172413,0.0
13,manhatten,86.20689655172413,0.0
14,euclidean,86.20689655172413,0.0
14,manhatten,86.20689655172413,0.0
15,euclidean,87.35632183908046,69.56521739130434
15,manhatten,87.35632183908046,0.0
16,euclidean,87.35632183908046,0.0
16,manhatten,87.35632183908046,0.0
17,euclidean,87.35632183908046,0.0
17,manhatten,87.35632183908046,0.0
18,euclidean,86.20689655172413,0.0
18,manhatten,87.35632183908046,0.0
19,euclidean,87.35632183908046,0.0
19,manhatten,87.35632183908046,0.0
